,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,,,,,,,
218,Northern Illinois,30,5,25,0.167,-12,-2.2,3,13,3,11,2,14,1619,1885,,561,1565,0.358,136,493,0.276,361,553,0.653,371,1004,254,213,51,434,612,-8.866666667,33.46666667,8.466666667,14.46666667,20.4,7.1,1.7
219,Northern Iowa,36,21,15,0.583,8.6,5.23,11,7,16,4,5,6,2400,2229,,828,1869,0.443,280,762,0.367,464,613,0.757,281,1148,442,223,88,432,527,4.75,31.88888889,12.27777778,12,14.63888889,6.194444444,2.444444444
220,Northern Kentucky,27,11,16,0.407,-7.82,-5.42,9,9,5,4,6,9,1582,1647,,553,1363,0.406,204,617,0.331,272,387,0.703,220,774,340,165,52,308,427,-2.407407407,28.66666667,12.59259259,11.40740741,15.81481481,6.111111111,1.925925926
221,Northwestern State,32,23,9,0.719,0.41,-3.77,15,3,13,1,8,7,2559,2285,,919,2007,0.458,189,603,0.313,532,775,0.686,434,1245,489,307,151,448,619,8.5625,38.90625,15.28125,14,19.34375,9.59375,4.71875
222,Northwestern,32,13,19,0.406,5.36,8.3,4,14,8,11,3,7,1943,2037,,661,1648,0.401,242,710,0.341,379,558,0.679,282,981,467,180,102,342,532,-2.9375,30.65625,14.59375,10.6875,16.625,5.625,3.1875
223,Notre Dame,35,25,10,0.714,13.74,7.22,11,7,17,2,4,5,2450,2222,,892,1929,0.462,228,617,0.37,438,618,0.709,387,1267,587,175,132,393,495,6.514285714,36.2,16.77142857,11.22857143,14.14285714,5,3.771428571
224,Oakland,33,16,17,0.485,-4.39,-1.61,10,6,10,2,5,14,2444,2485,,823,1886,0.436,239,673,0.355,559,790,0.708,371,1078,433,272,39,399,621,-1.242424242,32.66666667,13.12121212,12.09090909,18.81818182,8.242424242,1.181818182
225,Ohio State,37,29,8,0.784,20.19,9.32,13,5,16,2,5,5,2599,2197,,928,2057,0.451,227,638,0.356,516,729,0.708,390,1306,493,248,162,386,590,10.86486486,35.2972973,13.32432432,10.43243243,15.94594595,6.702702703,4.378378378
226,Ohio,34,24,10,0.706,6.94,-1.06,14,2,16,2,7,7,2464,2192,,889,1908,0.466,268,764,0.351,418,598,0.699,305,1062,594,303,120,430,669,8,31.23529412,17.47058824,12.64705882,19.67647059,8.911764706,3.529411765
227,Oklahoma State,33,24,9,0.727,15.57,6.73,13,5,15,2,5,5,2371,2079,,814,1854,0.439,183,580,0.316,560,751,0.746,354,1197,398,248,155,411,598,8.848484848,36.27272727,12.06060606,12.45454545,18.12121212,7.515151515,4.696969697
228,Oklahoma,32,20,12,0.625,11.4,7.09,12,7,12,2,5,7,2260,2122,,803,1847,0.435,159,493,0.323,495,654,0.757,377,1168,394,206,89,376,557,4.3125,36.5,12.3125,11.75,17.40625,6.4375,2.78125
229,Old Dominion,30,5,25,0.167,-7.59,-1.55,3,15,2,15,2,10,1947,2128,,707,1727,0.409,138,506,0.273,395,598,0.661,438,1108,376,215,141,411,577,-6.033333333,36.93333333,12.53333333,13.7,19.23333333,7.166666667,4.7
230,Oral Roberts,35,20,15,0.571,-0.23,-3,13,5,10,4,9,8,2484,2341,,890,1931,0.461,165,467,0.353,539,730,0.738,413,1256,442,218,133,483,578,4.085714286,35.88571429,12.62857143,13.8,16.51428571,6.228571429,3.8
231,Oregon State,32,14,18,0.438,6.04,4.29,4,14,9,8,3,7,2304,2248,,829,1855,0.447,186,511,0.364,460,687,0.67,396,1185,457,202,147,432,509,1.75,37.03125,14.28125,13.5,15.90625,6.3125,4.59375
232,Oregon,37,28,9,0.757,13.82,5.77,12,6,17,2,6,5,2650,2352,,944,2110,0.447,192,577,0.333,570,809,0.705,451,1389,484,314,146,555,651,8.054054054,37.54054054,13.08108108,15,17.59459459,8.486486486,3.945945946
233,Pacific,35,22,13,0.629,1.96,1.05,13,5,13,2,4,9,2344,2238,,824,1839,0.448,225,590,0.381,471,684,0.689,333,1128,510,194,46,390,621,3.028571429,32.22857143,14.57142857,11.14285714,17.74285714,5.542857143,1.314285714
234,Penn State,31,10,21,0.323,2.85,9.46,2,16,8,9,1,9,1910,2115,,661,1672,0.395,156,527,0.296,432,621,0.696,341,1082,305,164,100,381,679,-6.612903226,34.90322581,9.838709677,12.29032258,21.90322581,5.290322581,3.225806452
235,Pennsylvania,31,9,22,0.29,-6.97,-1.48,6,8,5,7,4,12,1947,2117,,689,1620,0.425,169,493,0.343,400,558,0.717,272,974,418,201,80,495,644,-5.483870968,31.41935484,13.48387097,15.96774194,20.77419355,6.483870968,2.580645161
236,Pepperdine,30,12,18,0.4,-3.73,1.06,4,12,6,7,5,10,1883,2021,,673,1551,0.434,165,463,0.356,372,529,0.703,309,1027,360,169,66,442,515,-4.6,34.23333333,12,14.73333333,17.16666667,5.633333333,2.2
237,Pittsburgh,33,24,9,0.727,18.82,5.63,12,6,16,3,6,3,2282,1847,,837,1775,0.472,163,467,0.349,445,666,0.668,425,1163,537,218,131,364,575,13.18181818,35.24242424,16.27272727,11.03030303,17.42424242,6.606060606,3.96969697
238,Portland State,28,8,20,0.286,-10.84,-5.54,5,15,8,6,0,14,1929,2037,,701,1542,0.455,151,401,0.377,376,506,0.743,280,871,368,153,66,335,462,-3.857142857,31.10714286,13.14285714,11.96428571,16.5,5.464285714,2.357142857
239,Portland,32,11,21,0.344,-5.79,3.28,4,12,8,8,2,11,1951,2189,,701,1709,0.41,141,448,0.315,408,603,0.677,369,1124,386,188,124,479,563,-7.4375,35.125,12.0625,14.96875,17.59375,5.875,3.875
240,Prairie View,34,15,19,0.441,-15.61,-10.1,8,10,9,4,3,13,2182,2223,,822,2065,0.398,129,494,0.261,409,665,0.615,530,1372,370,261,112,509,690,-1.205882353,40.35294118,10.88235294,14.97058824,20.29411765,7.676470588,3.294117647
241,Presbyterian,32,8,24,0.25,-17.47,-4.71,4,12,7,6,1,15,1987,2248,,739,1640,0.451,192,554,0.347,317,421,0.753,218,912,382,145,57,418,490,-8.15625,28.5,11.9375,13.0625,15.3125,4.53125,1.78125
242,Princeton,28,17,11,0.607,3.16,-1.65,10,4,9,4,8,6,1803,1635,,633,1369,0.462,188,476,0.395,349,483,0.723,251,867,405,178,85,344,453,6,30.96428571,14.46428571,12.28571429,16.17857143,6.357142857,3.035714286
243,Providence,34,19,15,0.559,9.28,6.55,9,9,14,4,4,8,2299,2206,,801,1947,0.411,186,600,0.31,511,728,0.702,471,1289,485,211,110,431,582,2.735294118,37.91176471,14.26470588,12.67647059,17.11764706,6.205882353,3.235294118
244,Purdue,34,16,18,0.471,9.04,7.87,8,10,12,7,4,7,2252,2212,,838,1968,0.426,145,453,0.32,431,660,0.653,459,1325,468,168,153,427,606,1.176470588,38.97058824,13.76470588,12.55882353,17.82352941,4.941176471,4.5
245,Quinnipiac,31,15,16,0.484,-4.75,-4.91,11,7,8,6,6,8,2225,2220,,789,1844,0.428,137,409,0.335,510,758,0.673,494,1306,389,128,115,432,609,0.161290323,42.12903226,12.5483871,13.93548387,19.64516129,4.129032258,3.709677419
246,Radford,32,13,19,0.406,-10.87,-7.32,7,9,8,5,4,12,2136,2179,,750,1888,0.397,194,617,0.314,442,682,0.648,425,1173,382,274,116,432,612,-1.34375,36.65625,11.9375,13.5,19.125,8.5625,3.625
247,Rhode Island,29,8,21,0.276,-0.6,4.95,3,13,5,10,3,9,1786,1947,,616,1539,0.4,183,568,0.322,371,553,0.671,292,927,316,161,117,350,561,-5.551724138,31.96551724,10.89655172,12.06896552,19.34482759,5.551724138,4.034482759
248,Rice,31,5,26,0.161,-11.12,0.01,1,15,5,11,0,11,1875,2199,,644,1621,0.397,229,697,0.329,358,493,0.726,209,799,351,204,32,346,583,-10.4516129,25.77419355,11.32258065,11.16129032,18.80645161,6.580645161,1.032258065
249,Richmond,34,19,15,0.559,6.9,3.43,8,8,15,2,4,11,2380,2262,,776,1748,0.444,282,747,0.378,546,756,0.722,295,980,436,248,131,413,666,3.470588235,28.82352941,12.82352941,12.14705882,19.58823529,7.294117647,3.852941176
250,Rider,34,19,15,0.559,-1.22,-1.66,12,6,9,5,8,9,2166,2151,,748,1733,0.432,207,600,0.345,463,683,0.678,340,1149,344,226,148,525,621,0.441176471,33.79411765,10.11764706,15.44117647,18.26470588,6.647058824,4.352941176
251,Robert Morris,35,24,11,0.686,0.24,-4.9,14,4,13,3,10,7,2480,2300,,825,1912,0.431,300,788,0.381,530,708,0.749,367,1101,491,313,92,448,685,5.142857143,31.45714286,14.02857143,12.8,19.57142857,8.942857143,2.628571429
252,Rutgers,31,15,16,0.484,5.97,6.77,5,13,9,7,4,8,2027,2052,,747,1689,0.442,150,420,0.357,383,548,0.699,368,1061,390,216,113,428,603,-0.806451613,34.22580645,12.58064516,13.80645161,19.4516129,6.967741935,3.64516129
253,Sacramento State,29,14,15,0.483,-9.4,-6.77,8,12,10,4,4,11,1876,1904,,640,1546,0.414,160,474,0.338,436,599,0.728,304,982,358,151,71,325,464,-0.965517241,33.86206897,12.34482759,11.20689655,16,5.206896552,2.448275862
254,Sacred Heart,29,9,20,0.31,-9.76,-3.69,7,11,5,7,3,13,2036,2212,,729,1656,0.44,193,549,0.352,385,533,0.722,333,1000,388,182,104,441,534,-6.068965517,34.48275862,13.37931034,15.20689655,18.4137931,6.275862069,3.586206897
255,Saint Francis (PA),29,5,24,0.172,-15.16,-4.37,5,13,3,10,2,14,1804,2117,,633,1527,0.415,207,594,0.348,331,482,0.687,267,863,364,161,62,419,537,-10.79310345,29.75862069,12.55172414,14.44827586,18.51724138,5.551724138,2.137931034
256,Saint Joseph's,32,18,14,0.563,7.31,4.03,8,8,11,4,5,8,2150,2045,,746,1702,0.438,229,669,0.342,429,616,0.696,332,1118,450,165,183,381,419,3.28125,34.9375,14.0625,11.90625,13.09375,5.15625,5.71875
257,Saint Louis,35,28,7,0.8,14.33,4.28,13,3,17,2,6,3,2388,2036,,808,1812,0.446,210,617,0.34,562,798,0.704,314,1144,453,267,109,400,603,10.05714286,32.68571429,12.94285714,11.42857143,17.22857143,7.628571429,3.114285714
258,Saint Mary's (CA),35,28,7,0.8,14.51,3.31,14,2,16,1,9,2,2610,2203,,910,1939,0.469,273,728,0.375,517,713,0.725,422,1295,502,214,98,416,612,11.62857143,37,14.34285714,11.88571429,17.48571429,6.114285714,2.8
259,Saint Peter's,30,9,21,0.3,-9.05,-2.92,3,15,5,8,4,11,1788,1972,,674,1633,0.413,147,438,0.336,293,495,0.592,322,945,340,209,105,387,567,-6.133333333,31.5,11.33333333,12.9,18.9,6.966666667,3.5
260,Sam Houston State,34,17,17,0.5,-6.45,-5.16,8,10,9,6,6,10,2168,2080,,740,1918,0.386,224,678,0.33,464,707,0.656,453,1273,472,239,77,449,719,2.588235294,37.44117647,13.88235294,13.20588235,21.14705882,7.029411765,2.264705882
261,Samford,32,11,21,0.344,-10.05,-4.38,9,9,7,6,4,12,1957,2114,,711,1601,0.444,203,562,0.361,332,502,0.661,266,921,402,206,81,422,537,-4.90625,28.78125,12.5625,13.1875,16.78125,6.4375,2.53125
262,San Diego State,34,23,11,0.676,13.01,6.19,9,7,14,1,4,6,2356,2077,,839,1916,0.438,202,618,0.327,476,697,0.683,376,1253,425,235,155,410,497,8.205882353,36.85294118,12.5,12.05882353,14.61764706,6.911764706,4.558823529
263,San Diego,34,16,18,0.471,-0.55,2.6,7,9,10,5,4,9,2215,2260,,782,1796,0.435,203,582,0.349,448,663,0.676,353,1099,392,205,131,458,580,-1.323529412,32.32352941,11.52941176,13.47058824,17.05882353,6.029411765,3.852941176
264,San Francisco,31,15,16,0.484,2.42,2.83,7,9,8,7,6,5,2161,2141,,756,1669,0.453,249,621,0.401,400,600,0.667,253,1007,382,169,63,375,548,0.64516129,32.48387097,12.32258065,12.09677419,17.67741935,5.451612903,2.032258065
265,San Jose State,29,9,20,0.31,-9.39,-0.92,3,14,5,9,4,9,1802,1999,,629,1669,0.377,147,490,0.3,397,605,0.656,379,1064,317,175,96,401,514,-6.793103448,36.68965517,10.93103448,13.82758621,17.72413793,6.034482759,3.310344828
266,Santa Clara,38,26,12,0.684,6.58,1.72,9,7,15,5,10,6,2827,2577,,970,2195,0.442,303,840,0.361,584,803,0.727,448,1315,560,301,173,468,747,6.578947368,34.60526316,14.73684211,12.31578947,19.65789474,7.921052632,4.552631579
267,Savannah State,34,19,15,0.559,-5.41,-4.73,11,5,11,3,7,11,1931,1887,,710,1691,0.42,131,445,0.294,380,615,0.618,391,1154,348,307,138,586,628,1.294117647,33.94117647,10.23529412,17.23529412,18.47058824,9.029411765,4.058823529
268,Seattle,30,8,22,0.267,-4.53,-1.05,3,15,5,11,3,9,1966,2058,,734,1750,0.419,181,557,0.325,317,507,0.625,409,1201,420,231,89,546,588,-3.066666667,40.03333333,14,18.2,19.6,7.7,2.966666667
269,Seton Hall,33,15,18,0.455,5.54,5.96,3,15,10,7,2,9,2136,2150,,744,1704,0.437,261,711,0.367,387,588,0.658,331,1106,461,225,86,514,624,-0.424242424,33.51515152,13.96969697,15.57575758,18.90909091,6.818181818,2.606060606
270,Siena,32,8,24,0.25,-10.25,-1.87,4,14,4,10,2,12,1921,2189,,659,1631,0.404,185,549,0.337,418,622,0.672,349,1082,331,180,88,490,501,-8.375,33.8125,10.34375,15.3125,15.65625,5.625,2.75
271,South Alabama,30,17,13,0.567,-2.89,-2.96,14,6,10,3,7,7,2060,2040,,679,1655,0.41,171,528,0.324,531,741,0.717,396,1131,322,199,150,475,563,0.666666667,37.7,10.73333333,15.83333333,18.76666667,6.633333333,5
272,South Carolina State,30,6,24,0.2,-18.17,-5.1,2,14,5,8,1,15,1808,2135,,678,1731,0.392,137,485,0.282,315,487,0.647,413,1087,363,181,119,449,518,-10.9,36.23333333,12.1,14.96666667,17.26666667,6.033333333,3.966666667
273,South Carolina Upstate,33,16,17,0.485,-3.59,-4.79,9,9,9,4,5,11,2315,2194,,843,1896,0.445,213,614,0.347,416,640,0.65,424,1205,513,233,131,445,547,3.666666667,36.51515152,15.54545455,13.48484848,16.57575758,7.060606061,3.96969697
274,South Carolina,32,14,18,0.438,-0.71,2.11,4,14,10,8,1,9,2115,2205,,743,1802,0.412,192,598,0.321,437,635,0.688,436,1138,392,164,111,490,641,-2.8125,35.5625,12.25,15.3125,20.03125,5.125,3.46875
275,South Dakota State,35,25,10,0.714,2.36,-3.27,13,3,13,0,7,9,2568,2300,,910,1938,0.47,270,694,0.389,478,627,0.762,331,1211,506,175,78,365,492,7.657142857,34.6,14.45714286,10.42857143,14.05714286,5,2.228571429
276,South Dakota,30,10,20,0.333,-7.5,-2.92,5,11,5,7,4,11,2113,2208,,721,1607,0.449,208,560,0.371,463,593,0.781,234,936,375,184,84,363,437,-3.166666667,31.2,12.5,12.1,14.56666667,6.133333333,2.8
277,South Florida,31,12,19,0.387,4.28,7.7,3,15,10,8,2,10,1822,1928,,647,1665,0.389,190,608,0.313,338,487,0.694,331,1012,351,193,104,338,483,-3.419354839,32.64516129,11.32258065,10.90322581,15.58064516,6.225806452,3.35483871
278,Southeast Missouri State,33,17,16,0.515,-5.51,-6.06,8,8,9,5,7,8,2446,2360,,880,1876,0.469,256,644,0.398,430,614,0.7,308,1220,522,173,159,423,605,2.606060606,36.96969697,15.81818182,12.81818182,18.33333333,5.242424242,4.818181818
279,Southeastern Louisiana,31,13,18,0.419,-10.65,-3.76,10,8,9,3,3,14,1965,2113,,690,1686,0.409,183,512,0.357,402,607,0.662,300,1033,303,147,93,398,591,-4.774193548,33.32258065,9.774193548,12.83870968,19.06451613,4.741935484,3
280,Southern California,32,14,18,0.438,6.31,8.25,9,9,10,6,3,9,2101,2163,,778,1826,0.426,166,486,0.342,379,547,0.693,328,1130,403,181,162,426,580,-1.9375,35.3125,12.59375,13.3125,18.125,5.65625,5.0625
281,SIU Edwardsville,27,9,18,0.333,-11.19,-4.67,5,11,8,5,1,13,1699,1827,,609,1428,0.426,159,438,0.363,322,481,0.669,260,855,340,148,58,388,478,-4.740740741,31.66666667,12.59259259,14.37037037,17.7037037,5.481481481,2.148148148
282,Southern Illinois,31,14,17,0.452,-0.82,2.28,6,12,9,4,4,11,1964,2019,,733,1645,0.446,139,434,0.32,359,559,0.642,325,931,321,250,68,377,543,-1.774193548,30.03225806,10.35483871,12.16129032,17.51612903,8.064516129,2.193548387
283,Southern Methodist,32,15,17,0.469,-0.59,-1.33,5,11,7,7,6,7,2064,2007,,729,1624,0.449,113,328,0.345,493,662,0.745,341,1082,383,220,132,462,559,1.78125,33.8125,11.96875,14.4375,17.46875,6.875,4.125
284,Southern Mississippi,37,27,10,0.73,8.95,1.49,12,4,14,2,9,6,2733,2348,,985,2058,0.479,245,645,0.38,518,746,0.694,471,1322,551,356,101,545,705,10.40540541,35.72972973,14.89189189,14.72972973,19.05405405,9.621621622,2.72972973
285,Southern Utah,31,11,20,0.355,-12.04,-5,8,12,9,5,2,12,2066,2230,,718,1768,0.406,162,503,0.322,468,646,0.724,375,1166,378,154,154,473,724,-5.290322581,37.61290323,12.19354839,15.25806452,23.35483871,4.967741935,4.967741935
286,Southern,33,23,10,0.697,-2.61,-10.31,15,3,12,0,8,8,2223,1890,,761,1757,0.433,226,619,0.365,475,689,0.689,283,1152,376,244,134,359,562,10.09090909,34.90909091,11.39393939,10.87878788,17.03030303,7.393939394,4.060606061
287,St. Bonaventure,29,14,15,0.483,3.44,2.71,7,9,8,6,5,9,2109,2088,,708,1579,0.448,212,566,0.375,481,630,0.763,308,941,415,188,84,393,570,0.724137931,32.44827586,14.31034483,13.55172414,19.65517241,6.482758621,2.896551724
288,St. Francis (NY),30,12,18,0.4,-5.92,-4.75,8,10,6,6,6,10,2108,2143,,763,1789,0.426,206,628,0.328,376,565,0.665,387,1055,387,196,69,370,566,-1.166666667,35.16666667,12.9,12.33333333,18.86666667,6.533333333,2.3
289,St. John's (NY),33,17,16,0.515,5.8,7.16,8,10,11,5,5,8,2138,2183,,825,1989,0.415,120,443,0.271,368,575,0.64,388,1201,404,220,241,376,548,-1.363636364,36.39393939,12.24242424,11.39393939,16.60606061,6.666666667,7.303030303
290,Stanford,34,19,15,0.559,11.4,7.37,9,9,12,5,5,7,2397,2260,,832,2002,0.416,237,660,0.359,496,668,0.743,397,1235,413,200,137,402,589,4.029411765,36.32352941,12.14705882,11.82352941,17.32352941,5.882352941,4.029411765
291,Stephen F. Austin,32,27,5,0.844,4.25,-6.64,16,2,15,0,11,4,2075,1639,,772,1649,0.468,134,413,0.324,397,651,0.61,359,1149,495,251,121,404,494,13.625,35.90625,15.46875,12.625,15.4375,7.84375,3.78125
292,Stetson,31,15,16,0.484,-6.45,-4.45,11,7,8,6,6,9,2180,2218,,768,1683,0.456,230,662,0.347,414,587,0.705,316,1089,502,165,78,490,519,-1.225806452,35.12903226,16.19354839,15.80645161,16.74193548,5.322580645,2.516129032
293,Stony Brook,33,25,8,0.758,5.6,-4.12,14,2,11,1,13,6,2245,1898,,790,1779,0.444,193,546,0.353,472,670,0.704,359,1242,407,212,125,390,515,10.51515152,37.63636364,12.33333333,11.81818182,15.60606061,6.424242424,3.787878788
294,Syracuse,40,30,10,0.75,20.3,8.57,11,7,17,2,5,5,2816,2347,,1007,2293,0.439,233,696,0.335,569,843,0.675,559,1535,562,360,248,495,637,11.725,38.375,14.05,12.375,15.925,9,6.2
295,Temple,34,24,10,0.706,9.52,5.2,11,5,14,3,8,4,2456,2309,,851,1986,0.428,243,740,0.328,511,707,0.723,381,1162,497,267,126,366,558,4.323529412,34.17647059,14.61764706,10.76470588,16.41176471,7.852941176,3.705882353
296,Tennessee-Martin,30,9,21,0.3,-16.58,-4.19,5,11,7,7,2,13,2008,2295,,682,1733,0.394,169,506,0.334,475,640,0.742,376,1068,370,206,76,452,634,-9.566666667,35.6,12.33333333,15.06666667,21.13333333,6.866666667,2.533333333
297,Tennessee State,33,18,15,0.545,-2.17,-1.3,11,5,11,2,5,11,2360,2308,,800,1822,0.439,206,611,0.337,554,741,0.748,399,1193,432,238,145,508,631,1.575757576,36.15151515,13.09090909,15.39393939,19.12121212,7.212121212,4.393939394
298,Tennessee Tech,29,12,17,0.414,-9.68,-3.31,5,11,9,5,3,12,1878,1951,,650,1527,0.426,177,554,0.319,401,566,0.708,346,972,340,185,104,468,605,-2.517241379,33.51724138,11.72413793,16.13793103,20.86206897,6.379310345,3.586206897
299,Tennessee,33,20,13,0.606,9,6.03,11,7,13,4,4,7,2189,2091,,753,1751,0.43,173,548,0.316,510,739,0.69,409,1219,354,140,130,425,597,2.96969697,36.93939394,10.72727273,12.87878788,18.09090909,4.242424242,3.939393939
300,Texas A&M-Corpus Christi,29,6,23,0.207,-11.76,-3.65,5,13,4,9,2,14,1746,1962,,634,1560,0.406,138,463,0.298,340,500,0.68,308,921,316,184,107,351,568,-7.448275862,31.75862069,10.89655172,12.10344828,19.5862069,6.344827586,3.689655172
301,Texas A&M,33,18,15,0.545,6.5,4.86,7,11,12,6,4,6,2103,2049,,767,1742,0.44,165,463,0.356,404,573,0.705,374,1100,380,213,98,438,568,1.636363636,33.33333333,11.51515152,13.27272727,17.21212121,6.454545455,2.96969697
302,Texas-Arlington,33,19,14,0.576,0.58,-0.9,11,7,7,8,10,5,2121,2072,,750,1820,0.412,189,553,0.342,432,663,0.652,435,1252,411,251,118,486,685,1.484848485,37.93939394,12.45454545,14.72727273,20.75757576,7.606060606,3.575757576
303,Texas Christian,32,11,21,0.344,-4.27,4.41,2,16,9,9,1,10,1761,2002,,631,1573,0.401,117,376,0.311,382,636,0.601,345,1021,322,172,90,432,528,-7.53125,31.90625,10.0625,13.5,16.5,5.375,2.8125
304,Texas-El Paso,32,18,14,0.563,4.63,2.38,10,6,12,3,4,7,2042,1970,,706,1571,0.449,177,504,0.351,453,669,0.677,275,1005,428,171,118,396,548,2.25,31.40625,13.375,12.375,17.125,5.34375,3.6875
305,Texas-Pan American,32,16,16,0.5,-13.35,-8.18,5,3,11,2,3,11,2101,2155,,739,1713,0.431,210,562,0.374,413,648,0.637,328,1036,412,217,62,459,560,-1.6875,32.375,12.875,14.34375,17.5,6.78125,1.9375
306,Texas-San Antonio,32,10,22,0.313,-6.47,-1,3,14,3,9,4,11,2048,2223,,693,1729,0.401,236,706,0.334,426,630,0.676,356,1024,322,199,43,431,530,-5.46875,32,10.0625,13.46875,16.5625,6.21875,1.34375
307,Texas Southern,31,17,14,0.548,-2.09,-7.25,16,2,10,3,7,11,2179,2019,,776,1763,0.44,277,778,0.356,350,550,0.636,341,1102,437,159,142,367,508,5.161290323,35.5483871,14.09677419,11.83870968,16.38709677,5.129032258,4.580645161
308,Texas State,34,12,22,0.353,-6.36,-0.9,5,13,4,11,5,8,2398,2558,,829,1974,0.42,227,685,0.331,513,727,0.706,347,1139,413,255,106,469,646,-4.705882353,33.5,12.14705882,13.79411765,19,7.5,3.117647059
309,Texas Tech,31,11,20,0.355,-3.11,4.31,3,15,9,11,1,8,2026,2256,,721,1712,0.421,149,517,0.288,435,652,0.667,349,993,344,255,94,456,594,-7.419354839,32.03225806,11.09677419,14.70967742,19.16129032,8.225806452,3.032258065
310,Texas,34,16,18,0.471,6.85,6.55,7,11,12,4,2,10,2229,2232,,776,1880,0.413,172,580,0.297,505,766,0.659,418,1269,391,219,163,500,657,-0.088235294,37.32352941,11.5,14.70588235,19.32352941,6.441176471,4.794117647
311,Toledo,28,15,13,0.536,-2.43,-3.04,10,6,8,4,6,9,1928,1911,,661,1541,0.429,166,495,0.335,440,578,0.761,273,920,365,197,93,333,479,0.607142857,32.85714286,13.03571429,11.89285714,17.10714286,7.035714286,3.321428571
312,Towson,31,18,13,0.581,-1.92,-2.59,13,5,6,5,9,8,2125,2066,,754,1717,0.439,168,525,0.32,449,687,0.654,430,1233,315,159,169,460,593,1.903225806,39.77419355,10.16129032,14.83870968,19.12903226,5.129032258,5.451612903
313,Troy,33,12,21,0.364,-8.77,-4.01,6,14,8,7,2,12,2046,2203,,758,1907,0.397,212,680,0.312,318,468,0.679,378,1094,374,179,81,345,514,-4.757575758,33.15151515,11.33333333,10.45454545,15.57575758,5.424242424,2.454545455
314,Tulane,35,20,15,0.571,1.87,-1.8,6,10,15,4,3,10,2436,2299,,789,1896,0.416,224,641,0.349,634,872,0.727,447,1235,402,233,66,430,585,3.914285714,35.28571429,11.48571429,12.28571429,16.71428571,6.657142857,1.885714286
315,Tulsa,33,17,16,0.515,-1.06,0.95,8,8,9,5,5,8,2241,2249,,763,1760,0.434,201,598,0.336,514,767,0.67,352,1206,389,213,101,484,655,-0.242424242,36.54545455,11.78787879,14.66666667,19.84848485,6.454545455,3.060606061
316,UCLA,35,25,10,0.714,12.88,7.82,13,5,15,3,6,3,2604,2427,,961,2131,0.451,171,514,0.333,511,706,0.724,387,1276,559,283,127,391,526,5.057142857,36.45714286,15.97142857,11.17142857,15.02857143,8.085714286,3.628571429
317,Utah State,31,21,10,0.677,3.79,-0.68,11,7,14,4,7,5,2134,1971,,750,1598,0.469,178,500,0.356,456,631,0.723,356,1162,455,150,125,408,499,5.258064516,37.48387097,14.67741935,13.16129032,16.09677419,4.838709677,4.032258065
318,Utah Valley,32,14,18,0.438,-11.38,-7.02,3,5,9,4,3,11,2157,2165,,793,1749,0.453,181,542,0.334,390,549,0.71,271,1055,458,203,97,390,468,-0.25,32.96875,14.3125,12.1875,14.625,6.34375,3.03125
319,Utah,33,15,18,0.455,4.74,6.68,5,13,11,7,2,10,2117,2086,,754,1717,0.439,196,542,0.362,413,547,0.755,297,1132,458,183,110,425,510,0.939393939,34.3030303,13.87878788,12.87878788,15.45454545,5.545454545,3.333333333
320,Valparaiso,34,26,8,0.765,7.15,-1.13,13,3,15,2,10,5,2420,2119,,823,1699,0.484,253,680,0.372,521,713,0.731,303,1109,467,232,114,486,586,8.852941176,32.61764706,13.73529412,14.29411765,17.23529412,6.823529412,3.352941176
321,Vanderbilt,33,16,17,0.485,6.24,6.03,8,10,9,6,4,7,1991,1984,,681,1671,0.408,257,734,0.35,372,586,0.635,307,1090,385,160,120,397,543,0.212121212,33.03030303,11.66666667,12.03030303,16.45454545,4.848484848,3.636363636
322,Vermont,33,21,12,0.636,-0.13,-4.46,11,5,10,5,9,7,2097,1954,,711,1626,0.437,158,491,0.322,517,729,0.709,353,1131,375,216,93,421,537,4.333333333,34.27272727,11.36363636,12.75757576,16.27272727,6.545454545,2.818181818
323,Villanova,34,20,14,0.588,10.74,8.53,10,8,12,4,6,7,2307,2214,,732,1760,0.416,204,617,0.331,639,889,0.719,383,1234,413,263,114,533,651,2.735294118,36.29411765,12.14705882,15.67647059,19.14705882,7.735294118,3.352941176
324,Virginia Commonwealth,36,27,9,0.75,16.89,4.47,12,4,15,2,8,3,2770,2323,,1010,2243,0.45,281,800,0.351,469,669,0.701,492,1244,521,422,109,420,708,12.41666667,34.55555556,14.47222222,11.66666667,19.66666667,11.72222222,3.027777778
325,VMI,31,14,17,0.452,-11.4,-7.11,8,8,8,5,5,10,2423,2411,,872,2011,0.434,282,869,0.325,397,604,0.657,417,1183,465,250,135,409,538,0.387096774,38.16129032,15,13.19354839,17.35483871,8.064516129,4.35483871
326,Virginia Tech,32,13,19,0.406,1.74,6.27,4,14,10,7,2,9,2248,2393,,791,1857,0.426,182,580,0.314,484,683,0.709,356,1145,325,138,125,385,603,-4.53125,35.78125,10.15625,12.03125,18.84375,4.3125,3.90625
